Feature,Duration,ATE,Type
Radial Distance from Sun,130,-0.0082015664654039,IBS_N
Electronic Box Temperature,130,38.37871169045052,IBS_N
Search Coil Magnetometer's Temperature,130,116.78025011419986,IBS_N
Solar Array's Angle,130,43.4615452424701,IBS_N
High Gain Antenna Azimuth,130,-26.52905279186131,IBS_N
Heater Dutycycle,130,-21.167511039370844,IBS_N
2.5V_PCU_ELB,140,40.19187732169986,IBS_N
Radial Distance from Sun,140,-0.0084880210551273,IBS_N
Electronic Box Temperature,140,71.19260240417339,IBS_N
Search Coil Magnetometer's Temperature,140,3.335793628469562,IBS_N
Solar Array's Angle,140,-78.56503673128289,IBS_N
High Gain Antenna Azimuth,140,45.1848239547616,IBS_N
Heater Dutycycle,140,-8.661904219907964,IBS_N
2.5V_PCU_ELB,150,21.816784760451945,IBS_N
Radial Distance from Sun,150,-0.0090948943089869,IBS_N
Electronic Box Temperature,150,67.1292604810631,IBS_N
Search Coil Magnetometer's Temperature,150,-40.80690842164694,IBS_N
Solar Array's Angle,150,63.0255111966724,IBS_N
High Gain Antenna Azimuth,150,-97.20548297189062,IBS_N
Heater Dutycycle,150,-41.0228982355097,IBS_N
2.5V_PCU_ELB,160,35.360325979920205,IBS_N
Radial Distance from Sun,160,-0.0095917880466062,IBS_N
Electronic Box Temperature,160,37.72731560859685,IBS_N
Search Coil Magnetometer's Temperature,160,-41.528458395585,IBS_N
Solar Array's Angle,160,20.510440617338144,IBS_N
High Gain Antenna Azimuth,160,15.97669120890008,IBS_N
Heater Dutycycle,160,6.297848444465526,IBS_N
2.5V_PCU_ELB,170,20.40546627295753,IBS_N
Radial Distance from Sun,170,-0.010134122521539,IBS_N
Electronic Box Temperature,170,46.23517964542968,IBS_N
Search Coil Magnetometer's Temperature,170,-32.55814491859107,IBS_N
Solar Array's Angle,170,-24.20112495782729,IBS_N
High Gain Antenna Azimuth,170,66.07519021055575,IBS_N
Heater Dutycycle,170,36.225545706554136,IBS_N
2.5V_PCU_ELB,180,-48.98196982280949,IBS_N
Radial Distance from Sun,180,-0.0107513338208556,IBS_N
Electronic Box Temperature,180,-21.37198288647278,IBS_N
Search Coil Magnetometer's Temperature,180,-3.72864469846241,IBS_N
Solar Array's Angle,180,9.8997161975855,IBS_N
High Gain Antenna Azimuth,180,41.61748472628975,IBS_N
Heater Dutycycle,180,-60.84764310477559,IBS_N
2.5V_PCU_ELB,190,32.0758211626889,IBS_N
Radial Distance from Sun,190,-0.0114141504249529,IBS_N
Electronic Box Temperature,190,-28.76327893445807,IBS_N
Search Coil Magnetometer's Temperature,190,13.396282404938946,IBS_N
Solar Array's Angle,190,21.34767800232761,IBS_N
High Gain Antenna Azimuth,190,-5.588188501988957,IBS_N
Heater Dutycycle,190,-29.47947227028934,IBS_N
2.5V_PCU_ELB,200,-31.90094930355001,IBS_N
Radial Distance from Sun,200,-0.0120160617164173,IBS_N
Electronic Box Temperature,200,-14.270695075743484,IBS_N
Search Coil Magnetometer's Temperature,200,-12.3288411839067,IBS_N
Solar Array's Angle,200,-16.620209360984095,IBS_N
High Gain Antenna Azimuth,200,17.819977561005068,IBS_N
Heater Dutycycle,200,11.37664967828086,IBS_N
2.5V_PCU_ELB,210,33.45592831390897,IBS_N
Radial Distance from Sun,210,-0.0125638550214125,IBS_N
Electronic Box Temperature,210,65.6382745007233,IBS_N
Search Coil Magnetometer's Temperature,210,-2.83876682059401,IBS_N
Solar Array's Angle,210,18.59604170251661,IBS_N
High Gain Antenna Azimuth,210,38.94350548124324,IBS_N
Heater Dutycycle,210,13.461879233486226,IBS_N
2.5V_PCU_ELB,220,0.9181865095083824,IBS_N
Radial Distance from Sun,220,-0.0130271267824627,IBS_N
Electronic Box Temperature,220,0.1085836314119572,IBS_N
Search Coil Magnetometer's Temperature,220,35.01783200329183,IBS_N
Solar Array's Angle,220,0.0989503262003209,IBS_N
High Gain Antenna Azimuth,220,-52.19541423756304,IBS_N
Heater Dutycycle,220,-6.742884884269784,IBS_N
2.5V_PCU_ELB,230,-4.931504097454335,IBS_N
Radial Distance from Sun,230,-0.0132839043009672,IBS_N
Electronic Box Temperature,230,39.39162192477502,IBS_N
Search Coil Magnetometer's Temperature,230,0.4103899605476863,IBS_N
Solar Array's Angle,230,53.24625575452207,IBS_N
High Gain Antenna Azimuth,230,40.04621336326482,IBS_N
Heater Dutycycle,230,32.910783431937624,IBS_N
2.5V_PCU_ELB,240,-22.48184614311612,IBS_N
Radial Distance from Sun,240,-0.0136042315214964,IBS_N
Electronic Box Temperature,240,-10.068349894490854,IBS_N
Search Coil Magnetometer's Temperature,240,87.52823754164258,IBS_N
Solar Array's Angle,240,46.3987129809023,IBS_N
High Gain Antenna Azimuth,240,-57.17146338015752,IBS_N
Heater Dutycycle,240,7.488875865334375,IBS_N
2.5V_PCU_ELB,10,-120.25244087760936,IBS_R
Radial Distance from Sun,10,-0.0533362426466244,IBS_R
Electronic Box Temperature,10,35.28089793071844,IBS_R
Search Coil Magnetometer's Temperature,10,-36.75575270603,IBS_R
Solar Array's Angle,10,-1.2667767599839583,IBS_R
High Gain Antenna Azimuth,10,-10.393544757671012,IBS_R
Heater Dutycycle,10,8.924029864477586,IBS_R
2.5V_PCU_ELB,20,12.738893259296498,IBS_R
Radial Distance from Sun,20,-0.0835403993495788,IBS_R
Electronic Box Temperature,20,12.74541396388018,IBS_R
Search Coil Magnetometer's Temperature,20,19.431897859795036,IBS_R
Solar Array's Angle,20,-92.21372786215412,IBS_R
High Gain Antenna Azimuth,20,-72.7516057302196,IBS_R
Heater Dutycycle,20,-0.2534796102779262,IBS_R
2.5V_PCU_ELB,30,-40.29791665865229,IBS_R
Radial Distance from Sun,30,-0.0922598334012462,IBS_R
Electronic Box Temperature,30,-43.74863922473887,IBS_R
Search Coil Magnetometer's Temperature,30,-5.305914939635681,IBS_R
Solar Array's Angle,30,28.438479718553506,IBS_R
High Gain Antenna Azimuth,30,6.840190141654935,IBS_R
Heater Dutycycle,30,57.21323166702015,IBS_R
2.5V_PCU_ELB,40,57.33102308858937,IBS_R
Radial Distance from Sun,40,-0.0966156157224674,IBS_R
