Feature,Duration,ATE,Normalized_ATE,Sum_Normalized_ATE,Type
High Gain Antenna Azimuth,80,27.12587662555829,0.10903828899184495,1.0,IBS_N
High Gain Antenna Elevation,80,12.67641582482996,0.050955576889495556,1.0,IBS_N
Heater Dutycycle,80,5.680803582034675,0.02283521049786741,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,80,21.76056509380464,0.0874712665723956,1.0,IBS_N
2.5V_PCU_ELB,90,48.21390952473865,0.17858448993189419,1.0,IBS_N
Radial Distance from Sun,90,0.0076758510119168,2.8431379061949363e-05,1.0,IBS_N
Electronic Box Temperature,90,8.069465637404605,0.029889329014885776,1.0,IBS_N
Outboard Sensor Temperature,90,20.764486212202037,0.07691172973644167,1.0,IBS_N
Inboard Sensor Temperature,90,3.3052058673616047,0.012242494121739148,1.0,IBS_N
Solar Array's Angle,90,67.20943281629873,0.24894397480776953,1.0,IBS_N
High Gain Antenna Azimuth,90,61.84156955610004,0.22906139047067342,1.0,IBS_N
High Gain Antenna Elevation,90,22.14777427188244,0.08203543355971596,1.0,IBS_N
Heater Dutycycle,90,9.08293484701088,0.033643222520790966,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,90,29.335691575970497,0.1086595044570274,1.0,IBS_N
2.5V_PCU_ELB,100,17.410796675535863,0.039570311548076276,1.0,IBS_N
Radial Distance from Sun,100,0.0075904933820435,1.7251260440776365e-05,1.0,IBS_N
Electronic Box Temperature,100,31.90212653908233,0.07250541774296995,1.0,IBS_N
Outboard Sensor Temperature,100,95.13778619948263,0.2162239850401293,1.0,IBS_N
Inboard Sensor Temperature,100,43.86851675319655,0.09970197845771836,1.0,IBS_N
Solar Array's Angle,100,78.42846891338903,0.17824795768835217,1.0,IBS_N
High Gain Antenna Azimuth,100,37.999949327277314,0.08636421765836258,1.0,IBS_N
High Gain Antenna Elevation,100,32.5920209590116,0.07407337225077482,1.0,IBS_N
Heater Dutycycle,100,69.10041206760094,0.15704765752950606,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,100,33.548783815477506,0.07624785082366976,1.0,IBS_N
2.5V_PCU_ELB,110,13.921584878567968,0.04201333016096559,1.0,IBS_N
Radial Distance from Sun,110,0.0077473002441713,2.338023190991595e-05,1.0,IBS_N
Electronic Box Temperature,110,15.922236492744938,0.04805100744675261,1.0,IBS_N
Outboard Sensor Temperature,110,0.6377881495491712,0.0019247524138585675,1.0,IBS_N
Inboard Sensor Temperature,110,40.14306351831456,0.12114596118032271,1.0,IBS_N
Solar Array's Angle,110,124.31153531044474,0.3751542386423664,1.0,IBS_N
High Gain Antenna Azimuth,110,49.21736974516515,0.1485309052664874,1.0,IBS_N
High Gain Antenna Elevation,110,38.17817884236892,0.1152162233423692,1.0,IBS_N
Heater Dutycycle,110,25.386867498402047,0.07661389527603595,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,110,23.63476591337361,0.07132630603893157,1.0,IBS_N
2.5V_PCU_ELB,120,26.178034316651686,0.10000295751053975,1.0,IBS_N
Radial Distance from Sun,120,0.0077939916736086,2.9773901613292477e-05,1.0,IBS_N
Electronic Box Temperature,120,41.706769323690885,0.15932442559011858,1.0,IBS_N
Outboard Sensor Temperature,120,28.87847206094153,0.11031892538404418,1.0,IBS_N
Inboard Sensor Temperature,120,16.205320431266113,0.06190609848432149,1.0,IBS_N
Solar Array's Angle,120,14.199686529355985,0.054244357367768836,1.0,IBS_N
High Gain Antenna Azimuth,120,14.503729945336296,0.05540583650871021,1.0,IBS_N
High Gain Antenna Elevation,120,65.54055520588231,0.25037209739242783,1.0,IBS_N
Heater Dutycycle,120,45.96122647278832,0.17557691775073017,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,120,8.591012936659011,0.03281861010972559,1.0,IBS_N
2.5V_PCU_ELB,130,44.52447301353412,0.1171922052948661,1.0,IBS_N
Radial Distance from Sun,130,0.0082015664654039,2.158722149638782e-05,1.0,IBS_N
Electronic Box Temperature,130,38.37871169045052,0.10101603803401765,1.0,IBS_N
Outboard Sensor Temperature,130,34.220960664684284,0.09007248320230912,1.0,IBS_N
Inboard Sensor Temperature,130,36.146144836963046,0.09513973191920104,1.0,IBS_N
Solar Array's Angle,130,43.4615452424701,0.11439448886771637,1.0,IBS_N
High Gain Antenna Azimuth,130,26.52905279186131,0.06982672653120696,1.0,IBS_N
High Gain Antenna Elevation,130,69.11105810935847,0.18190619140254435,1.0,IBS_N
Heater Dutycycle,130,21.167511039370844,0.05571469197520301,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,130,66.379255992014,0.1747158555514391,1.0,IBS_N
2.5V_PCU_ELB,140,40.19187732169986,0.10706134222574211,1.0,IBS_N
Radial Distance from Sun,140,0.0084880210551273,2.2610014449652353e-05,1.0,IBS_N
Electronic Box Temperature,140,71.19260240417339,0.18963970030380348,1.0,IBS_N
Outboard Sensor Temperature,140,8.424956141949291,0.02244202492783566,1.0,IBS_N
Inboard Sensor Temperature,140,65.28600529075943,0.17390596858763477,1.0,IBS_N
Solar Array's Angle,140,78.56503673128289,0.20927806425017553,1.0,IBS_N
High Gain Antenna Azimuth,140,45.1848239547616,0.12036133226896613,1.0,IBS_N
High Gain Antenna Elevation,140,0.3033263491559358,0.0008079872908931123,1.0,IBS_N
Heater Dutycycle,140,8.661904219907964,0.023073196720609045,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,140,57.590781891046966,0.15340777340989054,1.0,IBS_N
2.5V_PCU_ELB,150,21.816784760451945,0.04721862595637401,0.9999999999999999,IBS_N
Radial Distance from Sun,150,0.0090948943089869,1.968431266129019e-05,0.9999999999999999,IBS_N
Electronic Box Temperature,150,67.1292604810631,0.1452895775517407,0.9999999999999999,IBS_N
Outboard Sensor Temperature,150,60.27616669330214,0.13045725116811957,0.9999999999999999,IBS_N
Inboard Sensor Temperature,150,19.39840826708524,0.04198447178032097,0.9999999999999999,IBS_N
Solar Array's Angle,150,63.0255111966724,0.13640772788388122,0.9999999999999999,IBS_N
High Gain Antenna Azimuth,150,97.20548297189062,0.21038431610136596,0.9999999999999999,IBS_N
High Gain Antenna Elevation,150,31.10546751663828,0.06732235991660665,0.9999999999999999,IBS_N
Heater Dutycycle,150,41.0228982355097,0.08878690919389172,0.9999999999999999,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,150,61.04861283551101,0.1321290761350378,0.9999999999999999,IBS_N
2.5V_PCU_ELB,160,35.360325979920205,0.19286770244755144,1.0,IBS_N
